IDs         length   Exptl.  resolution  R-factor FreeRvalue
1LWBA       122      XRAY        1.050    0.10    0.14
4TXRC        58      XRAY        1.000    0.16    0.18
5GMDA       325      XRAY        1.500    0.17    0.19
4X5PA       160      XRAY        1.000    0.12    0.14
2WJ5A       101      XRAY        1.120    0.15    0.18
1CXQA       162      XRAY        1.020    0.13    0.16
1GK9A       260      XRAY        1.300    0.15    0.17
2FHZB       108      XRAY        1.150    0.20    0.20
4QI3A       208      XRAY        1.400    0.18    0.23
1RYLA       167      XRAY        1.600    0.22    0.26
3LDCA        82      XRAY        1.450    0.19    0.20
4A02A       166      XRAY        0.950    0.10    0.12
1P9GA        41      XRAY        0.840    0.07    0.08
1K4NA       192      XRAY        1.600    0.21    0.22
2RKVA       451      XRAY        1.600    0.18    0.21
4J8SA       203      XRAY        1.550    0.17    0.19
1I71A        83      XRAY        1.450    0.17    0.20
4ESMA       302      XRAY        1.350    0.15    0.18
1X6ZA       123      XRAY        0.780    0.14    0.15
4PZ3A       153      XRAY        1.080    0.17    0.18
5AMBA       629      XRAY        1.550    0.16    0.18
2AIBA        98      XRAY        1.100    0.12    0.15
2PY5A       575      XRAY        1.600    0.17    0.19
3A35A       190      XRAY        1.420    0.20    0.23
2ERLA        40      XRAY        1.000    0.13    0.17
5AOZA       169      XRAY        1.140    0.12    0.14
5A1QA        71      XRAY        1.600    0.18    0.22
3QZMA       127      XRAY        1.250    0.14    0.16
2FCLA       169      XRAY        1.200    0.14    0.17
2Y0OA       175      XRAY        1.230    0.15    0.18
5L37A        95      XRAY        1.600    0.15    0.18
3U7QB       523      XRAY        1.000    0.13    0.15
3V46A       170      XRAY        1.550    0.17    0.21
4YAAA       306      XRAY        1.050    0.13    0.14
4ANNA       215      XRAY        1.050    0.14    0.18
1AHOA        64      XRAY        0.960    0.16    1.00
3WJTA       178      XRAY        1.550    0.21    0.24
1WDDS       128      XRAY        1.350    0.16    0.18
3ZN6A       291      XRAY        1.530    0.17    0.20
3BVXA      1045      XRAY        1.100    0.15    0.19
4E29A       248      XRAY        1.600    0.22    0.24
4X33A        63      XRAY        1.450    0.15    0.18
2QF4A       172      XRAY        1.200    0.14    0.17
3LKMA       307      XRAY        1.600    0.20    0.22
2FUPA       157      XRAY        1.480    0.19    0.22
2P0SA       143      XRAY        1.600    0.18    0.23
4K7BA       124      XRAY        1.550    0.19    0.20
3GE3E       103      XRAY        1.520    0.17    0.19
3FILA        56      XRAY        0.880    0.12    0.15
2P51A       333      XRAY        1.400    0.14    0.20
2YH5A       127      XRAY        1.250    0.15    0.18
5GVRA       234      XRAY        1.500    0.18    0.21
2VB1A       129      XRAY        0.650    0.08    0.10
5APGA       185      XRAY        1.600    0.19    0.20
4UYRA       211      XRAY        0.890    0.13    0.13
4G0XA       147      XRAY        1.350    0.16    0.18
1G6XA        58      XRAY        0.860    0.11    0.14
5IWHA       117      XRAY        1.100    0.14    0.17
3FZEA       196      XRAY        1.600    0.21    0.24
5CDKA       183      XRAY        1.500    0.14    0.17
4LX2A       392      XRAY        1.500    0.17    0.20
1BX7A        55      XRAY        1.200    0.18    0.23
1V4PA       157      XRAY        1.450    0.21    0.23
4YNXA        66      XRAY        1.500    0.17    0.25
2BDRA       175      XRAY        1.600    0.20    0.22
1FCQA       350      XRAY        1.600    0.19    0.23
1Z67A       135      XRAY        1.450    0.16    0.21
4XJ5A       389      XRAY        1.550    0.18    0.19
1R6JA        82      XRAY        0.730    0.07    0.09
1TT8A       164      XRAY        1.000    0.12    0.15
4YTKA       130      XRAY        1.090    0.18    0.20
4GMUA       612      XRAY        1.200    0.17    0.20
1RYOA       327      XRAY        1.200    0.22    0.23
5JVVA       298      XRAY        1.590    0.15    0.18
3PMSA       326      XRAY        1.570    0.15    0.18
3TU8A       210      XRAY        1.040    0.13    0.16
3RPEA       218      XRAY        1.100    0.10    0.12
2FJ8A       125      XRAY        1.190    0.21    0.24
3N2WA       373      XRAY        1.450    0.13    0.15
5HZ8A       135      XRAY        1.120    0.14    0.17
5IO2A       160      XRAY        1.200    0.14    0.17
5J1NA       175      XRAY        1.090    0.16    0.18
4AL0A       152      XRAY        1.160    0.12    0.13
1ZCEA       155      XRAY        1.300    0.20    0.21
1XD3A       230      XRAY        1.450    0.18    0.19
4DJAA       518      XRAY        1.450    0.14    0.18
1OU8A       111      XRAY        1.600    0.21    0.23
3TT9A       233      XRAY        1.550    0.16    0.19
2OVGA        66      XRAY        1.350    0.13    0.17
5A0YC       249      XRAY        1.100    0.11    0.13
4RMHA       304      XRAY        1.420    0.18    0.19
4WN5A       115      XRAY        1.150    0.12    0.14
2LISA       136      XRAY        1.350    0.14    0.18
3WH1A       206      XRAY        1.000    0.15    0.15
2V8TA       302      XRAY        0.980    0.10    0.12
1VCCA        77      XRAY        1.600    0.22    0.29
1G61A       228      XRAY        1.300    0.13    0.18
4YZ0A       204      XRAY        1.150    0.12    0.15
2CS7A        55      XRAY        1.200    0.11    0.14
3KWRA        97      XRAY        1.450    0.16    0.18
2GGCA       263      XRAY        1.000    0.12    0.13
5AQ0A        82      XRAY        0.950    0.15    0.17
3MVSA       210      XRAY        1.100    0.16    0.19
5E5YA        63      XRAY        1.510    0.18    0.23
3L51B       166      XRAY        1.510    0.15    0.17
5AZBA       300      XRAY        1.600    0.18    0.22
3ZY7A       122      XRAY        1.090    0.16    0.18
4YX1A        70      XRAY        1.350    0.17    0.20
1JY2O        56      XRAY        1.400    0.22    0.24
2ZWSA       646      XRAY        1.400    0.18    0.21
4ACJA       167      XRAY        0.970    0.12    0.14
1IOMA       377      XRAY        1.500    0.17    0.18
4EA9A       220      XRAY        0.900    0.14    0.15
5FYPA       298      XRAY        1.170    0.13    0.15
4EE6A       304      XRAY        1.330    0.19    0.21
3SWOA       399      XRAY        1.450    0.13    0.15
3MQZA       215      XRAY        1.300    0.15    0.17
4A8TA       339      XRAY        1.590    0.16    0.18
1E58A       249      XRAY        1.250    0.12    0.17
5APZA       120      XRAY        1.600    0.18    0.21
1GMUA       143      XRAY        1.500    0.22    0.26
4PNOA        72      XRAY        0.970    0.14    0.16
5GJHA       100      XRAY        1.200    0.15    0.17
1F9VA       347      XRAY        1.300    0.22    0.24
1GPPA       237      XRAY        1.350    0.15    0.19
4PSYA       159      XRAY        0.850    0.11    0.13
5B7NA       248      XRAY        1.400    0.18    0.20
5BPKC       225      XRAY        1.490    0.14    0.18
4Q4GX       472      XRAY        0.970    0.13    0.17
4XOTA       597      XRAY        1.060    0.11    0.13
1UZ3A       102      XRAY        1.100    0.14    0.20
3VQJA       219      XRAY        1.200    0.14    0.17
4DWRA       487      XRAY        1.480    0.14    0.18
3NKEA       200      XRAY        1.400    0.18    0.20
3O2RA       170      XRAY        1.250    0.14    0.17
4XMRA       254      XRAY        1.300    0.14    0.17
2OB5A       153      XRAY        1.600    0.18    0.21
1QW2A       102      XRAY        1.500    0.20    0.22
3BWHA       245      XRAY        1.000    0.17    0.18
4HS2A       110      XRAY        1.530    0.13    0.15
1WVQA       167      XRAY        1.450    0.21    0.22
5EQ7A       277      XRAY        1.190    0.11    0.14
5JXMA       405      XRAY        1.150    0.18    0.21
2DLBA        80      XRAY        1.200    0.15    0.17
1FD3A        41      XRAY        1.350    0.16    0.24
3CHMA       169      XRAY        1.500    0.17    0.20
4HEIA        95      XRAY        1.600    0.26    0.28
1VYKA       149      XRAY        1.490    0.16    0.20
3DSOA        74      XRAY        1.550    0.20    0.21
4U9HS       265      XRAY        0.890    0.10    0.11
3DNJA        85      XRAY        1.150    0.14    0.16
1X0TA       120      XRAY        1.600    0.22    0.24
3DKMA        89      XRAY        1.600    0.16    0.18
4TKBA       133      XRAY        0.860    0.11    0.12
1RKIA       102      XRAY        1.600    0.19    0.23
3PESA        85      XRAY        1.300    0.18    0.20
2WFIA       179      XRAY        0.750    0.11    0.12
3WDCA       153      XRAY        1.180    0.12    0.16
1CY5A        97      XRAY        1.300    0.17    0.20
5B1AG        85      XRAY        1.500    0.15    0.17
2ASKA       113      XRAY        1.550    0.23    0.26
5BS1A       123      XRAY        1.600    0.18    0.21
2MCMA       112      XRAY        1.500    0.15    1.00
4QLPA       176      XRAY        1.100    0.13    0.14
1KMTA       141      XRAY        1.300    0.16    0.20
4FZPA        82      XRAY        1.290    0.18    0.19
3NIRA        46      XRAY        0.480    0.13    1.00
4UU3A       168      XRAY        1.150    0.12    0.13
4ONRA       166      XRAY        1.600    0.17    0.20
4JJJA       642      XRAY        1.600    0.12    0.16
3QC7A       179      XRAY        1.520    0.20    0.22
4MUQA       255      XRAY        1.360    0.16    0.18
5JEDA       231      XRAY        1.330    0.14    0.17
3EOJA       366      XRAY        1.300    0.14    0.16
1WCWA       261      XRAY        1.300    0.19    0.22
3MXNA       157      XRAY        1.550    0.20    0.23
3PD7A       107      XRAY        1.260    0.11    0.14
4LF0A       348      XRAY        1.100    0.13    0.14
2RE2A       136      XRAY        1.300    0.16    0.18
1N13A        52      XRAY        1.400    0.20    0.21
3WMTA       522      XRAY        1.500    0.14    0.17
1RWHA       757      XRAY        1.250    0.11    0.14
4TKXL       452      XRAY        1.600    0.12    0.14
2F23A       156      XRAY        1.600    0.21    0.25
1DFMA       223      XRAY        1.500    0.19    0.22
4PVKA       500      XRAY        1.300    0.14    0.16
5B4ZA       345      XRAY        1.300    0.15    0.17
4KDWA       123      XRAY        1.350    0.13    0.17
3SK7A       116      XRAY        1.500    0.16    0.20
4I0WA        96      XRAY        1.600    0.16    0.18
3K7IB       187      XRAY        1.440    0.16    0.18
4R2XA       252      XRAY        0.930    0.15    0.16
1N3LA       372      XRAY        1.180    0.18    0.22
2UV4A       152      XRAY        1.330    0.17    0.21
1JO0A        98      XRAY        1.370    0.14    0.22
3I7MA       140      XRAY        1.460    0.16    0.20
4QXBB        68      XRAY        1.600    0.17    0.21
4AQOA        92      XRAY        0.990    0.12    0.15
4Y9VA       625      XRAY        0.900    0.10    0.11
1W5RA       278      XRAY        1.450    0.20    0.22
2FOZA       347      XRAY        1.600    0.17    0.21
2PNEA        81      XRAY        0.980    0.14    0.16
4YNHA        60      XRAY        1.000    0.13    0.15
4XKBA       233      XRAY        1.500    0.16    0.20
2VOVA       336      XRAY        1.350    0.19    0.21
3GE3A       500      XRAY        1.520    0.17    0.19
5SXWA       728      XRAY        1.600    0.14    0.17
4NL9A        71      XRAY        1.500    0.18    0.20
1FM0E       150      XRAY        1.450    0.15    0.18
4RPTA       144      XRAY        1.350    0.19    0.21
3V68A       252      XRAY        1.560    0.20    0.23
4ZV0B        94      XRAY        1.400    0.15    0.16
4QGOA       225      XRAY        1.500    0.15    0.18
4DNDA       130      XRAY        1.400    0.16    0.20
5K8JA        85      XRAY        1.600    0.16    0.17
3B9TA       484      XRAY        1.580    0.14    0.18
1WHIA       122      XRAY        1.500    0.19    0.26
4DDPA       210      XRAY        1.550    0.18    0.20
4W8PA       301      XRAY        1.500    0.22    0.24
3P02A       317      XRAY        1.550    0.17    0.19
5DMAA        56      XRAY        1.530    0.20    0.22
1YU5X        67      XRAY        1.400    0.19    0.22
5DUTA       233      XRAY        1.500    0.17    0.19
5K8SA       148      XRAY        1.150    0.20    0.22
5BMTA       239      XRAY        1.500    0.17    0.19
3NHIA       296      XRAY        1.430    0.17    0.19
4ZHWA       168      XRAY        1.390    0.18    0.19
2R9FA       339      XRAY        1.600    0.19    0.22
3MXNB       150      XRAY        1.550    0.20    0.23
4WY4C        78      XRAY        1.400    0.14    0.18
2NSZA       129      XRAY        1.150    0.13    0.15
2A26A        50      XRAY        1.200    0.17    0.20
1QWOA       442      XRAY        1.500    0.16    0.19
1VLYA       338      XRAY        1.300    0.14    0.17
1GQIA       708      XRAY        1.480    0.13    0.17
1Y4MA        53      XRAY        1.600    0.26    0.26
4GS3A       107      XRAY        1.090    0.15    1.00
1MY7A       114      XRAY        1.490    0.25    0.25
1J2JB        45      XRAY        1.600    0.20    0.23
1F2TB       148      XRAY        1.600    0.19    0.23
5C33A       198      XRAY        1.210    0.14    0.17
4WFOA       858      XRAY        1.140    0.11    0.13
4EYZA       246      XRAY        1.380    0.13    0.15
2YNAA       306      XRAY        1.500    0.16    0.17
2B4HA       254      XRAY        1.600    0.20    0.23
2Z0JA       237      XRAY        1.500    0.19    0.21
4RGDA        70      XRAY        1.200    0.12    0.15
1VYRA       364      XRAY        0.900    0.12    0.14
5JO8A       279      XRAY        1.400    0.22    0.24
3WV7A       218      XRAY        1.600    0.17    0.20
4XINA       126      XRAY        1.500    0.16    0.20
3LW1A       253      XRAY        1.280    0.13    0.15
5D7UA        58      XRAY        1.500    0.16    0.21
1XUBA       298      XRAY        1.300    0.14    0.16
5CTVA       188      XRAY        1.050    0.14    0.15
3JRVA       149      XRAY        1.600    0.14    0.19
4B9GA       161      XRAY        1.040    0.16    0.17
3AGNA       114      XRAY        0.960    0.12    0.13
1NKIA       135      XRAY        0.950    0.15    0.18
5CWGA       210      XRAY        1.200    0.14    0.17
1M9ZA       111      XRAY        1.050    0.16    0.17
4ZA9A       508      XRAY        1.010    0.13    0.14
2OIZD       135      XRAY        1.050    0.12    0.14
2VY8A       157      XRAY        1.200    0.19    0.21
2Q6KA       283      XRAY        1.550    0.20    0.21
4M1XA        99      XRAY        1.300    0.12    0.14
1G2RA       100      XRAY        1.350    0.16    0.18
1V6PA        62      XRAY        0.870    0.12    0.15
5FAZA       133      XRAY        1.400    0.22    0.26
3M6ZA       380      XRAY        1.400    0.17    0.18
1YPYA       184      XRAY        1.510    0.24    0.25
3D2QA        70      XRAY        1.500    0.20    0.22
1XAWA       140      XRAY        1.450    0.28    0.28
4D7CA       285      XRAY        1.450    0.17    0.21
2W7AA       100      XRAY        1.400    0.14    0.18
4Q4W1       305      XRAY        1.400    0.15    1.00
1C1KA       217      XRAY        1.450    0.20    0.25
4WWFA       118      XRAY        1.100    0.12    0.14
3GMXA       154      XRAY        1.050    0.13    0.15
2C92A       160      XRAY        1.600    0.18    0.22
1YD0A        96      XRAY        1.500    0.17    0.18
5C5GA       254      XRAY        1.250    0.15    0.17
3FJUB        65      XRAY        1.600    0.16    0.20
1IQZA        81      XRAY        0.920    0.10    0.11
5INBB        46      XRAY        1.300    0.13    0.15
4TTWA       161      XRAY        1.200    0.16    0.19
5CVWA       153      XRAY        1.250    0.14    0.17
2X5YA       173      XRAY        1.050    0.13    0.15
2FULA       177      XRAY        1.500    0.18    0.20
4QP5A       140      XRAY        1.260    0.13    0.17
2VLQA        86      XRAY        1.600    0.17    0.20
4UTOA       309      XRAY        1.550    0.18    0.21
4I6YA       428      XRAY        1.450    0.17    0.19
4XDXA        70      XRAY        0.950    0.12    0.14
2PHNA       254      XRAY        1.350    0.16    0.19
2WURA       238      XRAY        0.900    0.15    0.17
4G4GA       433      XRAY        1.550    0.21    0.25
1GVPA        87      XRAY        1.600    0.21    0.29
4RYOA       181      XRAY        1.600    0.19    0.22
3M73A       314      XRAY        1.150    0.14    0.15
3LAGA        98      XRAY        1.150    0.19    0.22
2P0NA       172      XRAY        1.410    0.17    0.20
5HHEA        93      XRAY        1.460    0.17    0.21
3VVVA       123      XRAY        1.350    0.16    0.19
3GNZP       213      XRAY        1.350    0.16    0.18
4YTDA       101      XRAY        1.500    0.18    0.21
4U98A       454      XRAY        1.150    0.15    0.16
4AY0A       218      XRAY        1.520    0.17    0.19
4L2IB       263      XRAY        1.450    0.15    0.21
4BJIA       215      XRAY        1.450    0.15    0.17
3DK9A       478      XRAY        0.950    0.12    0.15
4CV7A       113      XRAY        1.400    0.17    0.20
4IPUA       137      XRAY        1.350    0.18    0.20
5HEEA       262      XRAY        1.410    0.16    0.19
4PH2A       134      XRAY        1.440    0.16    0.19
4YL8B        43      XRAY        1.500    0.16    0.19
4LEBA       300      XRAY        1.400    0.14    0.18
3L8WA       296      XRAY        1.000    0.14    0.14
1UOYA        64      XRAY        1.500    0.16    0.18
4ZC3A        68      XRAY        1.400    0.20    0.21
2OLMA       140      XRAY        1.480    0.18    0.20
2H1VA       310      XRAY        1.200    0.13    0.17
3WZ3A       144      XRAY        1.500    0.18    0.21
2BEQD        48      XRAY        1.600    0.20    0.24
1SVFA        64      XRAY        1.400    0.18    0.20
1UKFA       188      XRAY        1.350    0.20    0.22
2R5OA       188      XRAY        1.300    0.17    0.18
4WKAA       377      XRAY        0.950    0.11    0.12
1ZZKA        82      XRAY        0.950    0.12    0.13
3QL9A       129      XRAY        0.930    0.12    0.13
4TSDA       195      XRAY        1.530    0.16    0.18
2CWSA       237      XRAY        1.000    0.10    0.13
3NOHA       139      XRAY        1.600    0.16    0.20
4WPYA        94      XRAY        1.500    0.23    0.25
4KQPA       232      XRAY        0.950    0.12    0.12
4EP4A       166      XRAY        1.280    0.15    0.19
4AIWA       154      XRAY        1.500    0.15    0.19
2FSRA       195      XRAY        1.520    0.18    0.20
3DA8A       215      XRAY        1.300    0.17    0.19
1H16A       759      XRAY        1.530    0.14    0.16
2Z72A       342      XRAY        1.100    0.12    0.16
5DTYA       248      XRAY        1.500    0.18    0.22
5GZCA       152      XRAY        1.080    0.16    0.16
4F87A        72      XRAY        1.400    0.19    0.20
1G6UA        48      XRAY        1.480    0.20    0.24
1P3HA        99      XRAY        0.000    0.26    0.28
1N62C       288      XRAY        1.090    0.14    0.17
4QBOA        92      XRAY        1.300    0.17    0.18
2YIMA       360      XRAY        1.410    0.19    0.20
4DMIA       176      XRAY        1.500    0.16    0.18
3W19C        40      XRAY        1.280    0.16    0.17
3SHGB        61      XRAY        1.500    0.18    0.21
2CG7A        90      XRAY        1.200    0.19    0.22
5BMNA       468      XRAY        1.270    0.17    0.19
4IX7A       115      XRAY        1.580    0.19    0.22
3ZXCA        77      XRAY        1.400    0.16    0.19
3O12A       221      XRAY        1.500    0.17    0.18
3F0DA       183      XRAY        1.200    0.19    0.21
2CB8A        87      XRAY        1.400    0.17    0.19
4I66A       209      XRAY        1.300    0.16    0.20
4KQDA       121      XRAY        1.550    0.16    0.18
1KOEA       172      XRAY        1.500    0.19    0.22
3X2MA       180      XRAY        0.640    0.12    0.13
3A02A        60      XRAY        1.000    0.17    0.18
5M97A        77      XRAY        1.330    0.20    0.21
3O3YA        40      XRAY        1.350    0.14    0.17
3MWXA       326      XRAY        1.450    0.15    0.17
1UCDA       190      XRAY        1.300    0.20    0.20
4INWA       140      XRAY        1.140    0.16    0.18
4ES8A       320      XRAY        1.580    0.15    0.18
3CA7A        52      XRAY        1.500    0.20    0.24
3RWNA       161      XRAY        1.000    0.13    0.14
5SV2A       146      XRAY        1.310    0.14    0.16
3ACXA       293      XRAY        1.310    0.16    0.18
5K4XA       389      XRAY        1.370    0.20    0.21
5GNFA       140      XRAY        1.500    0.17    0.19
1HYOA       421      XRAY        1.300    0.18    0.20
1ZGXA        63      XRAY        1.130    0.13    0.16
3EWYA       260      XRAY        1.100    0.13    0.15
2J6BA       109      XRAY        1.300    0.16    0.19
3LWXA       199      XRAY        1.100    0.12    0.14
4CFIA       258      XRAY        1.300    0.14    0.17
2HUHA       147      XRAY        1.540    0.17    0.19
2IAYA       114      XRAY        1.200    0.12    0.15
2DXAA       166      XRAY        1.580    0.18    0.21
5FFXA       161      XRAY        1.470    0.15    0.19
2FVYA       309      XRAY        0.920    0.11    0.13
3O4PA       314      XRAY        0.850    0.10    0.12
4QI8A       214      XRAY        1.100    0.13    0.15
5M17A       385      XRAY        1.030    0.12    0.13
2GJ4A       824      XRAY        1.600    0.19    0.23
1Z70X       311      XRAY        1.150    0.14    0.17
3CI3A       194      XRAY        1.110    0.16    0.18
4HGUA        40      XRAY        0.980    0.11    0.12
1T9IA       163      XRAY        1.600    0.19    0.21
5EWYA       200      XRAY        1.400    0.15    0.17
5KNGA       169      XRAY        1.350    0.17    0.20
4NDOA       276      XRAY        1.350    0.16    0.18
4UZ1A       383      XRAY        1.400    0.14    0.18
2FB6A       117      XRAY        1.460    0.13    0.16
1US0A       316      XRAY        0.660    0.09    0.10
4CGOA       411      XRAY        1.300    0.16    0.20
5LUSA        68      XRAY        1.430    0.16    0.17
3A2ZA       197      XRAY        1.500    0.18    0.20
2CYJA       118      XRAY        1.500    0.18    0.20
2XU3A       220      XRAY        0.900    0.14    0.15
4EIVA       297      XRAY        1.370    0.15    0.18
4EADA       440      XRAY        1.500    0.15    0.19
1ODMA       331      XRAY        1.150    0.14    0.15
2CVEA       191      XRAY        1.600    0.21    0.24
4DB5A       125      XRAY        1.520    0.16    0.18
3HM4A       156      XRAY        1.300    0.14    0.17
5G4IA       446      XRAY        1.500    0.15    0.17
4HE6A        89      XRAY        1.100    0.12    0.16
3WURA       171      XRAY        1.450    0.17    0.20
2HP0A       466      XRAY        1.500    0.15    0.17
4H7WA       193      XRAY        1.100    0.13    0.15
2QSWA       100      XRAY        1.500    0.15    0.18
3E8TA       220      XRAY        1.300    0.14    0.18
3CJSB        72      XRAY        1.370    0.18    0.21
1NLQA       108      XRAY        1.500    0.24    0.25
1I2TA        61      XRAY        1.040    0.15    0.17
1MKKA        96      XRAY        1.320    0.17    0.20
3VGIA       319      XRAY        1.070    0.13    0.16
2OYOA       196      XRAY        1.510    0.18    0.21
5L87A        69      XRAY        0.870    0.13    0.14
4M9VC        64      XRAY        0.970    0.13    0.14
4CHIA       332      XRAY        1.270    0.10    0.13
2EW0A       192      XRAY        1.400    0.20    0.22
1Z21A       112      XRAY        1.500    0.27    0.24
5J0KA        80      XRAY        1.540    0.20    0.22
4IAUA       163      XRAY        0.990    0.11    0.13
4UA6A       263      XRAY        0.790    0.11    0.12
3B49A       211      XRAY        1.600    0.17    0.20
1C5EA        95      XRAY        1.100    0.10    0.13
3GKRA       336      XRAY        1.600    0.17    0.22
4Z9HA       196      XRAY        1.450    0.17    0.20
3RQ9A        85      XRAY        1.000    0.15    0.18
2FMAA        59      XRAY        0.850    0.13    0.15
5A10A       356      XRAY        1.420    0.16    0.18
4RFUA       125      XRAY        1.200    0.17    0.18
3L81A       301      XRAY        1.600    0.21    0.25
4ZEYA        84      XRAY        1.500    0.21    0.25
4UDXX       636      XRAY        1.030    0.13    0.16
3EOIA       124      XRAY        1.520    0.19    0.24
3LT7A        64      XRAY        1.500    0.23    0.27
5EP6B        58      XRAY        1.450    0.19    0.22
2X32A       179      XRAY        1.550    0.16    0.19
1HQ1A       105      XRAY        1.520    0.16    0.20
3D06A       200      XRAY        1.200    0.18    0.20
2C2UA       207      XRAY        1.100    0.13    0.15
1OK0A        74      XRAY        0.930    0.10    0.13
3QR7A       115      XRAY        0.940    0.10    0.11
2V4XA       140      XRAY        1.500    0.15    0.18
3IX3A       173      XRAY        1.400    0.17    0.21
2X49A       333      XRAY        1.500    0.19    0.23
2R16A       182      XRAY        1.040    0.15    0.17
4GT9A       232      XRAY        1.390    0.15    0.16
4RVQA       139      XRAY        1.140    0.12    0.15
2YKZA       127      XRAY        0.840    0.11    0.12
1VR7A       142      XRAY        1.200    0.12    0.15
1OF8A       370      XRAY        1.500    0.13    0.17
4X84A       231      XRAY        1.250    0.14    0.16
3WQBB       148      XRAY        1.410    0.19    0.21
5DZEA       207      XRAY        0.970    0.12    0.14
3TM8A       328      XRAY        1.280    0.17    0.20
4RUQA       238      XRAY        1.350    0.17    0.18
4RRIA       136      XRAY        1.500    0.20    0.26
2HIYA       183      XRAY        1.400    0.16    0.19
2WNKA       238      XRAY        1.550    0.20    0.25
4JHTA       206      XRAY        1.180    0.16    0.17
5MC7A       147      XRAY        1.600    0.21    0.25
4WIQA       264      XRAY        1.590    0.15    0.16
4L9PB       519      XRAY        1.450    0.13    0.15
4CGSA       173      XRAY        1.300    0.17    0.22
2XZ2A        66      XRAY        1.400    0.20    0.24
1ZL0A       311      XRAY        1.100    0.10    0.12
4PH8A       156      XRAY        1.550    0.16    0.23
4AYOA       447      XRAY        0.850    0.10    0.10
5FQEA       610      XRAY        1.530    0.16    0.18
1MC2A       122      XRAY        0.850    0.10    0.12
4ZBOA       265      XRAY        1.400    0.15    0.17
3O8MA       485      XRAY        1.420    0.19    0.22
4G6CA       348      XRAY        1.380    0.16    0.19
1G3PA       217      XRAY        1.460    0.19    0.23
5COZA       358      XRAY        1.450    0.16    0.18
3NJNA       119      XRAY        1.250    0.14    0.16
1BGFA       124      XRAY        1.450    0.19    0.22
1FR3A        67      XRAY        1.500    0.18    0.20
1L9LA        74      XRAY        0.920    0.14    0.19
3ONHA       127      XRAY        1.600    0.16    0.18
4CO8A       135      XRAY        1.050    0.12    0.13
2DSXA        52      XRAY        0.680    0.10    0.11
3CT5A       159      XRAY        1.370    0.20    0.23
1HFES       123      XRAY        1.600    0.16    0.18
1X6IA        91      XRAY        1.200    0.17    0.21
2D5MA       190      XRAY        1.050    0.14    0.16
4NN2A       129      XRAY        1.470    0.16    0.18
3NI0A        99      XRAY        1.600    0.21    0.24
3JU4A       670      XRAY        0.980    0.12    0.13
3GOEA        82      XRAY        0.970    0.14    0.17
5CTDC        72      XRAY        1.600    0.18    0.20
4YSIA       143      XRAY        1.020    0.15    0.16
5J1SB       239      XRAY        1.400    0.14    0.19
2QNGA       199      XRAY        1.400    0.17    0.19
2R31A       239      XRAY        1.000    0.12    0.14
3P4HA       118      XRAY        1.100    0.14    0.17
3N01A        89      XRAY        1.300    0.17    0.21
4XEZA       200      XRAY        1.250    0.12    0.16
4X9RA       237      XRAY        1.400    0.15    0.18
4RP3A        98      XRAY        1.360    0.15    0.21
5EPWA       130      XRAY        1.500    0.17    0.20
1SAUA       115      XRAY        1.120    0.11    0.14
5LQ6A       219      XRAY        1.480    0.17    0.20
5B1AI        73      XRAY        1.500    0.15    0.17
1R7JA        95      XRAY        1.470    0.23    0.24
4J8CA        46      XRAY        1.100    0.14    0.16
3D3BJ        87      XRAY        1.300    0.17    0.20
3GWIA       170      XRAY        1.600    0.19    0.22
3B64A       112      XRAY        1.030    0.14    0.16
5CGQB       397      XRAY        1.180    0.14    0.16
4XUWA        92      XRAY        1.100    0.14    0.18
3KM5A       180      XRAY        1.400    0.18    0.21
3VORA       182      XRAY        0.900    0.12    0.13
4M5EA       410      XRAY        1.490    0.18    0.20
1E7LA       157      XRAY        1.320    0.14    0.19
4WF5A       189      XRAY        1.450    0.16    0.20
2BBRA       195      XRAY        1.200    0.21    0.23
5EMXA        72      XRAY        1.400    0.14    0.18
4L0NA        51      XRAY        1.400    0.16    0.21
1GTVA       214      XRAY        1.550    0.19    0.21
2QCPX        80      XRAY        1.000    0.16    0.19
4JGLA       169      XRAY        1.250    0.14    0.15
3OV5A        85      XRAY        1.040    0.13    0.15
2VLAA       285      XRAY        1.300    0.14    0.17
3W5HA       272      XRAY        0.780    0.13    0.14
2G3RA       123      XRAY        1.250    0.20    0.24
4X1ZA       332      XRAY        1.360    0.11    0.13
5J4LA       231      XRAY        1.130    0.12    0.14
3HZPA       131      XRAY        1.400    0.17    0.18
4BEUA       392      XRAY        1.150    0.16    0.17
2NW8A       306      XRAY        1.600    0.17    0.19
1JETA       517      XRAY        1.200    0.23    0.26
5D5YA        50      XRAY        1.030    0.17    0.20
4AZ6A       435      XRAY        1.360    0.12    0.14
5EQ0A        55      XRAY        1.180    0.16    0.19
3WARA       340      XRAY        1.040    0.14    0.17
3M8JA       111      XRAY        1.400    0.20    0.22
1MUNA       225      XRAY        1.200    0.12    0.17
5ITQA       290      XRAY        1.480    0.16    0.20
4BPFA        86      XRAY        1.010    0.13    0.16
3G91A       265      XRAY        1.230    0.12    0.17
2JLIA       123      XRAY        1.130    0.16    0.17
5A8CA       326      XRAY        0.970    0.10    0.12
3D32A       119      XRAY        1.300    0.18    0.20
1PP0A       199      XRAY        1.420    0.23    0.26
5I78A       305      XRAY        1.580    0.14    0.17
5TW9A        63      XRAY        1.500    0.17    0.20
4UFQA       217      XRAY        1.450    0.15    0.17
